movie_id,genres
1,Drama
2,Crime
2,Drama
3,Action
3,Crime
3,Drama
4,Crime
4,Drama
5,Crime
5,Drama
6,Biography
6,Drama
6,History
7,Action
7,Adventure
7,Drama
8,Crime
8,Drama
9,Action
9,Adventure
9,Drama
10,Adventure
10,Western
11,Drama
11,Romance
12,Drama
13,Action
13,Adventure
13,Sci-Fi
14,Action
14,Adventure
14,Drama
15,Action
15,Adventure
15,Fantasy
16,Action
16,Sci-Fi
17,Biography
17,Crime
17,Drama
18,Drama
19,Crime
19,Drama
19,Mystery
20,Action
20,Drama
21,Drama
21,Family
21,Fantasy
22,Crime
22,Drama
22,Thriller
23,Crime
23,Drama
24,Drama
24,War
25,Comedy
25,Drama
25,Romance
26,Crime
26,Drama
26,Fantasy
27,Action
27,Adventure
27,Fantasy
28,Adventure
28,Drama
28,Sci-Fi
29,Action
29,Sci-Fi
30,Adventure
30,Comedy
30,Sci-Fi
31,Animation
31,Adventure
31,Family
32,Horror
32,Mystery
32,Thriller
33,Biography
33,Drama
33,Music
34,Action
34,Crime
34,Drama
35,Comedy
35,Drama
35,Horror
36,Animation
36,Adventure
36,Drama
37,Drama
38,Action
38,Adventure
38,Drama
39,Crime
39,Drama
39,Mystery
40,Crime
40,Drama
40,Thriller
41,Drama
41,Mystery
41,Thriller
42,Drama
42,Romance
42,War
43,Drama
43,Music
44,Biography
44,Comedy
44,Drama
45,Comedy
45,Drama
45,Romance
46,Action
46,Drama
46,Mystery
47,Western
48,Animation
48,Drama
48,War
49,Mystery
49,Thriller
50,Horror
50,Sci-Fi
51,Comedy
51,Drama
51,Romance
52,Drama
52,Romance
53,Mystery
53,Thriller
54,Drama
54,Mystery
54,War
55,Action
55,Adventure
55,Comedy
56,Action
56,Adventure
57,Drama
57,Western
58,Animation
58,Adventure
58,Family
59,Drama
59,Mystery
59,Thriller
60,Drama
60,Film-Noir
61,Drama
61,War
62,Drama
62,Horror
63,Comedy
63,Drama
63,War
64,Crime
64,Drama
64,Mystery
65,Action
65,Adventure
65,Sci-Fi
66,Action
66,Adventure
66,Sci-Fi
67,Drama
68,Comedy
68,War
69,Action
69,Crime
69,Drama
70,Animation
70,Action
70,Adventure
71,Crime
71,Drama
71,Thriller
72,Action
72,Drama
72,Mystery
73,Biography
73,Drama
73,History
74,Biography
74,Drama
74,Music
75,Animation
75,Adventure
75,Comedy
76,Drama
76,War
77,Animation
77,Adventure
77,Comedy
78,Adventure
78,Drama
78,War
79,Animation
79,Action
79,Adventure
80,Crime
80,Drama
81,Action
81,Adventure
81,Drama
82,Drama
82,Romance
83,Drama
84,Animation
84,Adventure
84,Comedy
85,Comedy
85,Musical
85,Romance
86,Animation
86,Drama
86,Fantasy
87,Action
87,Adventure
87,Fantasy
88,Comedy
88,Drama
89,Adventure
89,Sci-Fi
90,Crime
90,Drama
90,Thriller
91,Drama
91,Romance
91,Sci-Fi
92,Crime
92,Drama
92,Mystery
93,Drama
93,Mystery
94,Drama
95,Adventure
95,Biography
95,Drama
96,Crime
96,Mystery
96,Thriller
97,Drama
98,Adventure
98,Mystery
98,Thriller
99,Mystery
99,Romance
99,Thriller
100,Action
100,Adventure
100,Fantasy
101,Comedy
101,Romance
102,Crime
102,Sci-Fi
103,Drama
103,Thriller
103,War
104,Drama
104,War
105,Crime
105,Drama
105,Film-Noir
106,Comedy
106,Drama
106,Romance
107,Crime
107,Drama
108,Crime
108,Drama
109,Crime
109,Drama
110,Comedy
110,Crime
110,Drama
111,Drama
112,Biography
112,Drama
112,History
113,Crime
113,Drama
113,Mystery
114,Animation
114,Adventure
114,Comedy
115,Action
115,Crime
115,Drama
116,Drama
116,Sci-Fi
117,Comedy
117,Crime
118,Drama
119,Action
119,Thriller
120,Drama
120,Mystery
120,War
121,Action
121,Adventure
122,Drama
123,Action
123,Drama
123,War
124,Drama
124,Family
125,Biography
125,Drama
125,History
126,Western
127,Action
127,Crime
127,Drama
128,Action
128,Biography
128,Drama
129,Comedy
129,Drama
129,Family
130,Comedy
130,Music
130,Romance
131,Drama
131,Mystery
132,Drama
133,Biography
133,Comedy
133,Drama
134,Biography
134,Comedy
134,Crime
135,Drama
135,War
136,Drama
136,Western
137,Drama
137,Fantasy
137,War
138,Crime
138,Drama
139,Action
